Wall time,Step,Value
1652479799.9968958,465,0.8440303206443787
1652479814.2473738,658,0.4413139224052429
1652479850.961828,1132,0.7426077127456665
1652479914.2968645,1940,0.1407664567232132
1652479915.774287,1960,0.07869020104408264
1652479973.857784,2693,0.08820033073425293
1652479975.9357736,2717,0.40243202447891235
1652480017.0871015,3265,0.4300050735473633
1652480083.3979535,4121,0.4540872871875763
1652480087.9275973,4181,0.08369863778352737
1652480174.5093753,5262,0.1506008505821228
1652480177.5818686,5295,0.15904974937438965
1652480182.7920206,5362,0.3564324975013733
1652480189.8028328,5454,0.17205579578876495
1652480220.1785982,5832,0.0690690353512764
1652480222.969121,5866,0.09779299795627594
1652480233.0802763,5997,0.2648560702800751
1652480237.5238328,6053,0.2729445695877075
1652480255.0410187,6279,0.05864650756120682
1652480259.1353328,6334,0.2241741567850113
1652480289.3392487,6730,0.3272307217121124
1652480298.4131885,6850,0.2607323229312897
1652480309.5063643,6991,0.23609516024589539
1652480344.2779403,7436,0.06684563308954239
1652480346.6016505,7464,0.357046514749527
1652480360.217915,7644,0.20895104110240936
1652480409.5745547,8291,0.6395272612571716
1652480429.337117,8548,0.10867547243833542
1652480429.9597468,8554,0.2620577812194824
1652480440.4978383,8694,0.4664253294467926
1652480444.9369607,8752,0.6603951454162598
1652480476.1709528,9152,0.1349887102842331
1652480483.5523221,9252,0.1379464864730835
1652480486.4907074,9291,0.28062868118286133
1652480518.7926033,9712,0.2657903730869293
1652480522.1541975,9753,0.49297648668289185
1652480529.0310543,9837,0.2228827029466629
1652480533.6701806,9894,0.92241370677948
1652480535.2984571,9917,0.8961836099624634
1652480537.6842582,9949,0.10109331458806992
1652480540.2079344,9979,0.30884358286857605
1652480546.7589679,10063,0.2318214625120163
1652480556.4576793,10191,0.5444470047950745
1652480576.218405,10445,0.24634185433387756
1652480582.1367354,10518,0.43738076090812683
1652480592.2103498,10645,0.21522541344165802
1652480621.44749,11023,0.15136979520320892
1652480628.759393,11118,0.21057410538196564
1652480684.141277,11819,0.5776122808456421
1652480700.7343066,12027,0.5921874046325684
1652480704.2940884,12076,0.13509073853492737
1652480725.7246213,12354,0.29156818985939026
1652480734.5378096,12476,0.067159503698349
1652480767.6192772,12905,0.36425238847732544
1652480798.7805178,13304,0.6152284741401672
1652480804.981768,13388,0.26431775093078613
1652480815.8866417,13522,0.3726692199707031
